ImageName,Label,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19
heart (109).jpg,Heart,1.210930691,0.793916309,0.278291114,0.817320755,0.734783306,0.615491006,0.505203044,0.399263414,0.276903642,0.219773207,0.10427929,0.271055627,0.452734034,0.531072245,0.622091102,0.764693533,0.83268531,0.963684469,1.031280084
heart (11).jpg,Heart,1.125274918,0.803950861,0.208928494,0.930126821,0.854867056,0.716481881,0.630453144,0.499836853,0.400593305,0.34990264,0.206661233,0.234610583,0.408517426,0.460792597,0.523976195,0.639907368,0.707610741,0.839476373,0.91027467
heart (110).jpg,Heart,1.177957376,0.782388257,0.234970199,1.105300594,1.032718132,0.909450221,0.799923135,0.675079754,0.538405705,0.479212227,0.30852059,0.235421319,0.452998822,0.518321011,0.613866362,0.747872879,0.823256427,0.951908431,1.008796537
heart (111).jpg,Heart,1.170535914,0.817260375,0.225444345,0.917869559,0.852198241,0.695101209,0.631623338,0.486280886,0.401282405,0.352558635,0.211178564,0.13284391,0.254133957,0.298931207,0.388490328,0.512403882,0.590890847,0.735223721,0.798206549
heart (112).jpg,Heart,1.22593241,0.826007815,0.294720515,0.943123797,0.871463673,0.726960721,0.634729106,0.499987314,0.380548715,0.320095557,0.169692839,0.180140717,0.325772432,0.386176341,0.504582987,0.64681327,0.731369265,0.880004339,0.942467956
heart (113).jpg,Heart,1.121380158,0.78016477,0.251940683,0.842057925,0.784368725,0.659183413,0.594835215,0.459054018,0.360852024,0.295259901,0.125803957,0.349945376,0.538844556,0.611854261,0.708934457,0.845779243,0.914820871,1.041841999,1.105359999
heart (114).jpg,Heart,1.196212585,0.806388585,0.245901784,1.072629559,1.003533887,0.860012697,0.776347411,0.638632832,0.510791853,0.444623452,0.291701562,0.114645857,0.241883654,0.298651489,0.420317323,0.545497966,0.61745355,0.74836924,0.801216578
heart (115).jpg,Heart,1.183287208,0.823943662,0.231401476,0.929656616,0.865565592,0.727975464,0.662657048,0.52508614,0.437312406,0.384494495,0.220270455,0.236216567,0.414944167,0.472124705,0.550259291,0.67532064,0.748148718,0.879949197,0.94572947
heart (116).jpg,Heart,1.146821267,0.802580865,0.272818681,0.942131648,0.900481778,0.764745616,0.732233196,0.573481696,0.491216902,0.419382202,0.20996942,0.254322551,0.420716985,0.487012361,0.60612517,0.750915147,0.832635871,0.973212243,1.026970535
heart (117).jpg,Heart,1.154158621,0.820579646,0.245985424,0.853475378,0.797278107,0.653001595,0.608260471,0.463109107,0.39336083,0.340825618,0.186120894,0.200208918,0.350485867,0.40681529,0.485898355,0.615634349,0.688993681,0.827203851,0.898658171
heart (118).jpg,Heart,1.116447254,0.770217851,0.233918418,1.108431108,1.081671923,0.92801291,0.936429723,0.751164454,0.703063213,0.626321209,0.395277449,0.061369338,0.201945634,0.259308713,0.34772898,0.470705893,0.539574767,0.668117842,0.720223728
heart (119).jpg,Heart,1.24825291,0.781510425,0.274303199,0.9652257,0.903799983,0.765498144,0.693541416,0.542833836,0.433417154,0.362525825,0.197155432,0.213561822,0.387629549,0.46399463,0.578993848,0.733445484,0.810237673,0.94463665,1.00690915
heart (12).jpg,Heart,1.136211424,0.836825937,0.251999209,1.005802485,0.939453928,0.789446838,0.707046026,0.560406515,0.446858724,0.38421724,0.220136508,0.156031012,0.302729261,0.362549051,0.481695621,0.62548823,0.710343773,0.857649848,0.919398531
heart (120).jpg,Heart,1.176140218,0.816370401,0.269896921,0.954131905,0.87710522,0.745986388,0.650784578,0.526214953,0.420984496,0.363655147,0.21837486,0.162038405,0.33365535,0.396645533,0.467298205,0.587238123,0.650132609,0.764377469,0.823025525
heart (121).jpg,Heart,1.146487406,0.810998533,0.241064157,0.944983122,0.886733879,0.744208784,0.68340316,0.535259174,0.437502144,0.378269701,0.220139593,0.199334561,0.35087477,0.409937374,0.515848481,0.655697275,0.736197079,0.880596065,0.946528199
heart (122).jpg,Heart,1.166312313,0.790446072,0.254980166,1.023096383,0.960976385,0.834741944,0.76006472,0.623506378,0.515796562,0.447139345,0.263533493,0.241318658,0.444749036,0.521922922,0.619963983,0.760021049,0.830257233,0.955788251,1.018348345
heart (124).jpg,Heart,1.208951026,0.817912755,0.281223375,0.988933816,0.908931734,0.772711251,0.663519115,0.533202321,0.409899881,0.351379423,0.208804849,0.167096271,0.335418728,0.400019456,0.49579965,0.638507991,0.716665446,0.854531664,0.921185642
heart (125).jpg,Heart,1.160781208,0.800283737,0.248938151,1.120680306,1.058677033,0.912787428,0.846066934,0.681285727,0.573536195,0.498723689,0.319136583,0.114025396,0.280014076,0.348991769,0.454848256,0.593453461,0.665707186,0.794627861,0.853864279
heart (126).jpg,Heart,1.231713597,0.778302939,0.246911627,0.92786383,0.863373414,0.739172463,0.658729993,0.528632396,0.416054716,0.354679983,0.206520332,0.25255921,0.431609874,0.504558929,0.613086561,0.757314008,0.831713456,0.966867415,1.030381218
heart (127).jpg,Heart,1.184809627,0.78985322,0.271328739,0.863033086,0.795957041,0.665491213,0.593453455,0.466555693,0.37626522,0.318612761,0.173357428,0.18968469,0.350699276,0.413742103,0.494995467,0.623343241,0.691428863,0.817745108,0.884186926
heart (128).jpg,Heart,1.179129954,0.845278711,0.262360476,0.996672437,0.920659182,0.776249787,0.682169031,0.54206435,0.42944264,0.368055399,0.215768996,0.169650112,0.342311346,0.407785948,0.499225952,0.640120097,0.716163204,0.85225161,0.919718063
heart (129).jpg,Heart,1.281054675,0.825673317,0.235361234,1.171547924,1.112938266,0.985549552,0.91108428,0.774691644,0.656268512,0.58698998,0.376956567,0.209452188,0.42100002,0.493464272,0.61124499,0.746028147,0.823619175,0.954175772,1.008822662
heart (130).jpg,Heart,1.192029573,0.818202428,0.284197218,0.980374709,0.922365435,0.783868187,0.716397567,0.564614668,0.46045797,0.392153323,0.218888836,0.187328159,0.346223402,0.412826773,0.528243311,0.673543216,0.754747159,0.897681577,0.958265567
heart (131).jpg,Heart,1.167191305,0.833491774,0.282238475,0.889375752,0.814462022,0.675624238,0.574195588,0.440450469,0.314516286,0.252127565,0.121962382,0.206665068,0.35315777,0.421123109,0.546863244,0.707300793,0.794668747,0.948663849,1.019151377
heart (132).jpg,Heart,1.207665476,0.852746474,0.236032402,1.17508454,1.098723159,0.947323817,0.840516303,0.703685424,0.558266426,0.496855582,0.341574302,0.060840231,0.198219537,0.253898413,0.39230603,0.526756634,0.611500588,0.756240004,0.810919403
heart (133).jpg,Heart,1.126348002,0.77461458,0.226815094,0.965120317,0.905261131,0.77245759,0.714911901,0.570635562,0.48346871,0.413565095,0.23654837,0.268053322,0.480817213,0.556981267,0.620538252,0.742253103,0.797719721,0.903544656,0.96669225
heart (134).jpg,Heart,1.225903397,0.798924326,0.231640745,1.074544896,1.011628732,0.879209868,0.795578611,0.675276007,0.548882185,0.484862443,0.302560918,0.156601266,0.319578349,0.383522393,0.52260136,0.654581941,0.736174064,0.873882828,0.925095577
heart (14).jpg,Heart,1.152619971,0.817163842,0.263637279,0.922807208,0.857494075,0.711895661,0.633409206,0.482104086,0.368235675,0.305463574,0.16438789,0.196705945,0.337578054,0.406803964,0.535951317,0.702205528,0.791944576,0.949342936,1.01646788
heart (142).jpg,Heart,1.24405005,0.831273379,0.295533715,0.846612497,0.781666989,0.639744273,0.555864188,0.431150997,0.317659139,0.261420036,0.119999236,0.198381798,0.330422949,0.39110781,0.530757249,0.679156817,0.771892411,0.932917932,0.993771754
heart (143).jpg,Heart,1.231891786,0.783590645,0.282546888,0.850619132,0.769988674,0.651641898,0.536645833,0.42421241,0.297075873,0.233190893,0.086955331,0.371515957,0.61371166,0.699621041,0.767379902,0.898985384,0.960194792,1.073749874,1.131156939
heart (144).jpg,Heart,1.198582854,0.823350217,0.270530573,0.974199878,0.903558898,0.764989199,0.656540079,0.520729761,0.370714219,0.301965497,0.132343321,0.290180965,0.458797657,0.530999847,0.6807193,0.835980399,0.923963425,1.068120739,1.125064715
heart (145).jpg,Heart,1.199640387,0.83071033,0.246625743,0.944637019,0.878880583,0.722160425,0.657076345,0.513359349,0.419863692,0.367567847,0.22386879,0.125430465,0.246894457,0.295193766,0.397471062,0.525609422,0.604841846,0.751070581,0.813619105
heart (146).jpg,Heart,1.153871418,0.811278571,0.302831202,0.862430226,0.784542229,0.640958214,0.540451168,0.412837036,0.296126128,0.240468579,0.131174806,0.109012279,0.220674092,0.276729983,0.393410824,0.535434085,0.617745115,0.76560058,0.829267905
heart (147).jpg,Heart,1.190492597,0.856850435,0.27025168,0.80379523,0.723866578,0.596643782,0.480808411,0.378494199,0.248411864,0.199735405,0.084511932,0.228872761,0.360783599,0.416295229,0.551476615,0.697582653,0.790747503,0.952057912,1.017520391
heart (148).jpg,Heart,1.190521121,0.786177891,0.248412014,0.904216306,0.839617747,0.700454331,0.626360292,0.486984717,0.390945336,0.338268898,0.184058006,0.215957872,0.376216376,0.433308328,0.527716549,0.660715557,0.739175687,0.878608758,0.940811025
heart (149).jpg,Heart,1.145960701,0.82345715,0.288659183,1.17104081,1.101400987,0.936023846,0.852242428,0.682721523,0.566922626,0.496610332,0.330733136,0.00836885,0.125012009,0.180815971,0.284000172,0.410205389,0.482924752,0.609706503,0.663024129
heart (15).jpg,Heart,1.138628048,0.813609693,0.239862408,1.059659979,1.004175482,0.853156711,0.806101867,0.632243484,0.549339138,0.486386446,0.302878098,0.149740027,0.30760661,0.361515426,0.442143924,0.569832735,0.641387099,0.770241791,0.832013804
heart (150).jpg,Heart,1.180878982,0.819791087,0.2650248,0.919234268,0.853239887,0.714401532,0.627538311,0.495537264,0.37620622,0.31685151,0.164493353,0.214070495,0.36095443,0.419408065,0.549487083,0.691862677,0.78033581,0.932951161,0.992039834
heart (151).jpg,Heart,1.25130407,0.833890416,0.28319379,0.922819033,0.852358365,0.710637142,0.614185586,0.485272684,0.351254924,0.289906539,0.146298219,0.203535077,0.340887412,0.402259817,0.548005084,0.691159795,0.779917254,0.933551457,0.991343752
heart (152).jpg,Heart,1.178068463,0.840346114,0.260864538,0.861896361,0.781112069,0.644054685,0.53649217,0.425750998,0.304162049,0.25426806,0.133980813,0.181910878,0.319701071,0.374822677,0.489987237,0.625079987,0.709798815,0.860611506,0.928034602
heart (153).jpg,Heart,1.184226874,0.784191654,0.246981781,1.051530656,0.972799722,0.842549158,0.730348395,0.609206493,0.479114995,0.425346475,0.276076446,0.185246801,0.367312292,0.426238711,0.519610569,0.649688122,0.724275615,0.855500702,0.914798008
heart (154).jpg,Heart,1.154890929,0.836559806,0.303862252,0.867355196,0.807202256,0.657272404,0.577502039,0.420074842,0.294485776,0.224741528,0.082604048,0.202900523,0.324013625,0.386835535,0.536081132,0.696500644,0.792357374,0.960129493,1.018637404
heart (155).jpg,Heart,1.153979079,0.781590607,0.226020548,0.757731177,0.694036886,0.565596954,0.498262267,0.377879148,0.29403036,0.246526698,0.107453133,0.286621281,0.451637716,0.507075732,0.587933155,0.718663762,0.795876504,0.941556268,1.013936838
heart (157).jpg,Heart,1.151799295,0.813133498,0.293296662,0.858922501,0.787074827,0.649029576,0.554022643,0.422762374,0.300801237,0.239688572,0.108090936,0.224395428,0.363632613,0.429172269,0.555881336,0.70847285,0.793381931,0.94340801,1.007596244
heart (158).jpg,Heart,1.174396686,0.819739945,0.272937807,0.822109915,0.764781861,0.627153063,0.565681386,0.430401347,0.340188049,0.286183277,0.14456403,0.188752657,0.31686712,0.368886807,0.473949586,0.609717645,0.693503626,0.846600334,0.910426939
heart (159).jpg,Heart,1.179099576,0.813766058,0.264508235,0.88714303,0.82772058,0.686776568,0.617508182,0.480325369,0.375233048,0.316424631,0.157299332,0.222505995,0.365871048,0.425026594,0.55618216,0.700196924,0.788907285,0.94161577,0.998557976
heart (16).jpg,Heart,1.176419422,0.773099535,0.211547439,0.956356918,0.88560664,0.739861806,0.665421821,0.520156326,0.419323524,0.365432452,0.237997885,0.179004054,0.323437751,0.381295312,0.473356313,0.612919022,0.68723079,0.827505583,0.897810509
heart (160).jpg,Heart,1.165468209,0.828044996,0.250904792,0.802807337,0.746580453,0.601469049,0.551210336,0.398622496,0.316171048,0.260413708,0.124593472,0.214123105,0.344507982,0.403936443,0.50415557,0.652030684,0.735496724,0.892650278,0.965878072
heart (162).jpg,Heart,1.215255289,0.828684682,0.272243474,0.753660387,0.690732107,0.55944239,0.489251821,0.369236239,0.272125623,0.219301684,0.084145972,0.251278899,0.393256837,0.452772819,0.566226743,0.702941891,0.78733761,0.945317016,1.01452991
heart (164).jpg,Heart,1.175533918,0.823908863,0.276533159,0.920695823,0.853150481,0.706712027,0.633375843,0.488097695,0.387757002,0.325340749,0.19177209,0.128471078,0.259934688,0.319818436,0.421125914,0.56084102,0.63720418,0.779553703,0.848475754
heart (165).jpg,Heart,1.140384615,0.79829381,0.263949166,0.820002424,0.744727621,0.611440966,0.522098094,0.404719936,0.298978046,0.246883501,0.134615754,0.163439876,0.289911211,0.34831261,0.451309653,0.585066991,0.658689959,0.795934583,0.862049706
heart (166).jpg,Heart,1.226523944,0.797875401,0.283118299,1.21971401,1.227335865,1.055439125,1.125024196,0.872322668,0.842919574,0.722434123,0.407055958,0.053572206,0.185771122,0.246466407,0.370162424,0.50929937,0.591643267,0.739256326,0.780919895
heart (167).jpg,Heart,1.155914352,0.743050824,0.185582109,0.844014679,0.790340433,0.657006595,0.622164235,0.487027969,0.414012386,0.354992408,0.211589787,0.184909413,0.330930406,0.392964957,0.475265939,0.59327062,0.652921899,0.772818603,0.8365783
heart (168).jpg,Heart,1.172271837,0.822427924,0.236451299,0.972547466,0.901452418,0.760234965,0.677467429,0.533107282,0.427992312,0.370625128,0.214294122,0.237592734,0.41506388,0.472221221,0.547937691,0.673502607,0.744550195,0.875847475,0.94329282
heart (169).jpg,Heart,1.16498572,0.819344399,0.253502791,0.918953731,0.855076115,0.704505512,0.643893929,0.504120444,0.413414349,0.355018904,0.207880568,0.113461344,0.23148975,0.280308753,0.37534937,0.48668608,0.555533157,0.684253652,0.738837435
heart (17).jpg,Heart,1.148697446,0.783218887,0.251304636,0.948574684,0.877454176,0.74432535,0.650018861,0.515814241,0.398969143,0.335699006,0.178357801,0.239702253,0.41570624,0.479979935,0.577296232,0.713245126,0.787353296,0.919821835,0.982568517
heart (170).jpg,Heart,1.153339389,0.758228611,0.255189219,0.938252404,0.874573686,0.737031225,0.668747458,0.531535921,0.424900996,0.356902123,0.208562043,0.158440798,0.305027763,0.372594942,0.478327277,0.607486304,0.673456823,0.79693306,0.856940212
heart (171).jpg,Heart,1.127949946,0.804346701,0.280788454,1.048070382,0.967040953,0.806743898,0.708505691,0.566318903,0.446586977,0.383338515,0.254028866,0.019335246,0.134212982,0.188686873,0.292028587,0.416895096,0.486972605,0.613414318,0.669602841
heart (172).jpg,Heart,1.178998907,0.802139622,0.243665974,0.970456637,0.933539147,0.779512057,0.772592461,0.607131575,0.549321351,0.480203902,0.272817964,0.148698374,0.289328053,0.342576986,0.440173664,0.556587365,0.628500376,0.760950358,0.810616154
heart (173).jpg,Heart,1.140041679,0.794960253,0.232789378,0.967826045,0.909338164,0.782521167,0.72370221,0.587589239,0.495772521,0.429719939,0.247265607,0.267169564,0.474157119,0.547324665,0.625264216,0.7485747,0.810402372,0.925356571,0.988409293
heart (174).jpg,Heart,1.195345128,0.78497362,0.25072159,0.961519527,0.895545581,0.758326704,0.689901856,0.561121419,0.467127288,0.410560917,0.251593219,0.171740103,0.336484664,0.398076115,0.489455656,0.614527416,0.684720396,0.812592147,0.87426118
heart (175).jpg,Heart,1.162047517,0.789956967,0.241686807,0.897423222,0.82899557,0.692274975,0.623306474,0.486328588,0.395012147,0.337449862,0.19743516,0.210733846,0.380501012,0.444696608,0.517308653,0.642272901,0.705195213,0.826354202,0.893713484
heart (176).jpg,Heart,1.165027031,0.791110593,0.253151354,0.95398456,0.885038881,0.735762691,0.666750136,0.523320014,0.424290233,0.361101409,0.219911778,0.127358949,0.264701291,0.325286917,0.41709018,0.540925716,0.606062456,0.72909276,0.791436999
heart (177).jpg,Heart,1.146792677,0.804505108,0.234640714,1.106205272,1.057428397,0.927091147,0.881731584,0.732698334,0.645115906,0.573226768,0.346637396,0.258562745,0.480360861,0.553679883,0.648471342,0.778322126,0.848122759,0.969527642,1.025746166
heart (178).jpg,Heart,1.178068391,0.795334886,0.270208668,1.027276274,0.992245748,0.825272131,0.809053299,0.612461371,0.527588053,0.443308544,0.256921378,0.074962269,0.186845613,0.241730964,0.356725108,0.485030536,0.561801707,0.704876196,0.752746997
heart (179).jpg,Heart,1.190908735,0.818524972,0.255744942,0.989258517,0.931110387,0.789090676,0.721051322,0.573294026,0.468749423,0.404878854,0.229610599,0.182699011,0.338707117,0.401892509,0.527052011,0.67389394,0.759819772,0.906649652,0.96398117
heart (18).jpg,Heart,1.161494078,0.80679053,0.243181727,1.040044112,0.961565621,0.814538952,0.716133486,0.579533426,0.464449099,0.406384345,0.252656783,0.141503727,0.301881486,0.35596149,0.439609121,0.561960835,0.634193402,0.766190335,0.83030608
heart (180).jpg,Heart,1.13608369,0.790887355,0.259534996,1.054501687,0.991097257,0.857557029,0.776987968,0.633178632,0.510830634,0.433700883,0.254707211,0.197180871,0.385326685,0.467154836,0.589690789,0.737749886,0.811120956,0.939788445,0.999322775
heart (181).jpg,Heart,1.196954035,0.822504614,0.255869029,1.003212024,0.940913104,0.803652941,0.724548001,0.583016199,0.472272685,0.409164596,0.238051801,0.191065302,0.361385814,0.426489315,0.538326179,0.691213844,0.777844305,0.927021534,0.992676742
heart (182).jpg,Heart,1.25952842,0.778640687,0.245086261,0.904344829,0.837637916,0.696077798,0.621343603,0.487570063,0.378319121,0.319514793,0.190742347,0.159734698,0.293322606,0.357545132,0.47474811,0.619167183,0.696186817,0.840296219,0.90518257
heart (183).jpg,Heart,1.144181163,0.756823077,0.259384319,0.888278811,0.829211025,0.701437735,0.639427403,0.506515376,0.409969339,0.343760229,0.184202551,0.266472942,0.4457396,0.520143016,0.616410737,0.750138366,0.814408916,0.934646257,0.997683346
heart (184).jpg,Heart,1.13485742,0.760734693,0.227420833,0.988181876,0.950284356,0.814300695,0.791486232,0.632328759,0.546433612,0.463735502,0.262328737,0.203458383,0.361713795,0.432952842,0.551193119,0.686671762,0.759384896,0.894397622,0.950430272
heart (185).jpg,Heart,1.140732016,0.765664859,0.25529275,0.889194214,0.837769357,0.707689753,0.66804137,0.528368406,0.452379476,0.385402909,0.215305536,0.209368482,0.380580642,0.451446346,0.533129168,0.6596321,0.721142674,0.837871917,0.901910977
heart (186).jpg,Heart,1.133919603,0.798965185,0.232113687,0.940334945,0.864956132,0.719015822,0.638160865,0.503524288,0.405448879,0.355162347,0.228616144,0.131775954,0.263020163,0.313512089,0.400124975,0.523022349,0.593948117,0.727510256,0.79443521
heart (187).jpg,Heart,1.196033219,0.828082877,0.245832668,0.871917137,0.818345571,0.665515362,0.62995902,0.466771412,0.395006366,0.335152611,0.181780184,0.211205418,0.358883006,0.420353132,0.502670673,0.640227543,0.713664907,0.856646474,0.932180759
heart (188).jpg,Heart,1.173559045,0.818837614,0.239790937,0.922811837,0.846565868,0.712802601,0.611549282,0.49091881,0.371162954,0.317632466,0.16850582,0.269503232,0.447932909,0.508995089,0.609472974,0.74091395,0.818400062,0.957990487,1.022598869
heart (19).jpg,Heart,1.186855991,0.824199318,0.246734809,0.930469091,0.857352526,0.714661342,0.627009236,0.496446997,0.386249301,0.329621853,0.181610397,0.18439262,0.3268774,0.382701904,0.489095091,0.617594951,0.695542621,0.835738036,0.897743558
heart (190).jpg,Heart,1.167803297,0.773549332,0.236212655,0.989737299,0.948169604,0.808249072,0.775505873,0.616090306,0.530908945,0.463720035,0.263287175,0.204838131,0.361722126,0.425372727,0.558357407,0.705991789,0.792471869,0.9402062,0.990745743
heart (191).jpg,Heart,1.186521864,0.813426406,0.286113453,0.914930141,0.851380865,0.704657489,0.634865488,0.496317065,0.389755074,0.327275886,0.185689984,0.129550457,0.245505516,0.300985078,0.41973628,0.548694351,0.625255255,0.767635267,0.823748637
heart (193).jpg,Heart,1.196019177,0.811647358,0.276340226,0.840301582,0.784381597,0.644384874,0.585337127,0.449850118,0.357222421,0.302062326,0.152334211,0.169213613,0.290825667,0.342696016,0.466043933,0.6010288,0.688370219,0.844260588,0.898571686
heart (195).jpg,Heart,1.191003996,0.800737361,0.234116002,0.767776838,0.717485307,0.57601057,0.538307023,0.38397936,0.307216162,0.248418327,0.111251449,0.253724461,0.391677353,0.457021572,0.557875837,0.711227944,0.793267433,0.951006512,1.027760808
heart (198).jpg,Heart,1.192087282,0.760022375,0.229085137,0.976174514,0.919880667,0.77786956,0.726842281,0.585686812,0.482143494,0.416423202,0.260535238,0.148431679,0.279985118,0.339667234,0.464967163,0.590934267,0.664416144,0.80275948,0.857729956
heart (199).jpg,Heart,1.168713184,0.802786984,0.240885874,0.964976941,0.900924437,0.772396921,0.689459656,0.554323113,0.440474152,0.37395678,0.187637285,0.338382374,0.546863813,0.618076016,0.7170463,0.848706297,0.92092313,1.047980045,1.10601479
heart (2).jpg,Heart,1.24059779,0.826822129,0.261827894,0.944879558,0.90782531,0.750051111,0.73304971,0.551217471,0.487953091,0.422516791,0.210383677,0.246269846,0.398956759,0.459673016,0.575130418,0.722892864,0.810318294,0.964164832,1.024094162
heart (20).jpg,Heart,1.136823257,0.778640459,0.23598936,0.999157188,0.923325776,0.788012982,0.683618281,0.545918993,0.413590786,0.347741887,0.19999253,0.25682542,0.431204342,0.499682329,0.601600567,0.742998547,0.813137773,0.942621613,1.005575602
heart (201).jpg,Heart,1.17940319,0.794388827,0.248144221,1.012886374,0.971687635,0.814782006,0.796654413,0.62365094,0.557960461,0.493215867,0.297235936,0.121483462,0.258203615,0.311492539,0.408142147,0.536264084,0.612246669,0.750365175,0.805702822
heart (202).jpg,Heart,1.151959685,0.811252288,0.250604182,0.900873932,0.835417998,0.698384834,0.634964629,0.499322728,0.414185201,0.354651533,0.197529762,0.208751663,0.38448487,0.449604779,0.519683795,0.641305902,0.70398426,0.823393593,0.890734086
heart (205).jpg,Heart,1.232354489,0.822770652,0.273339968,0.924320798,0.849488969,0.705047898,0.607499459,0.476507658,0.353589204,0.29495945,0.152473376,0.187260672,0.327447129,0.386705996,0.508772861,0.648863857,0.733995644,0.883780065,0.946568511
heart (206).jpg,Heart,1.239546106,0.770567106,0.271059306,0.896909395,0.820218925,0.688309367,0.592805605,0.466458081,0.35223855,0.288814345,0.152769367,0.218203024,0.391729003,0.463339463,0.554040955,0.690476958,0.756581445,0.878171396,0.941398878
heart (207).jpg,Heart,1.171788723,0.792048619,0.26274992,0.989818422,0.919716765,0.769424807,0.676219355,0.519056882,0.385760937,0.317702578,0.189379283,0.129945121,0.254897919,0.323044484,0.463561169,0.631013297,0.720626862,0.878624373,0.943645644
heart (208).jpg,Heart,1.163531373,0.814016136,0.29045881,0.826192715,0.749533106,0.619148815,0.514556993,0.391269558,0.267003762,0.205506168,0.080080003,0.24229848,0.399155347,0.472117622,0.590653896,0.748030364,0.829947957,0.97740027,1.047497281
heart (209).jpg,Heart,1.162508232,0.782230937,0.251839968,0.873413584,0.800446425,0.670196832,0.581902644,0.456862209,0.353915926,0.299003066,0.159088909,0.243829628,0.419499477,0.481784442,0.564255423,0.696846972,0.768058654,0.898974536,0.966266708
heart (21).jpg,Heart,1.129261845,0.790887838,0.241648837,0.810370385,0.741196209,0.610699195,0.531005766,0.395781099,0.296706276,0.235018657,0.091675551,0.353294215,0.55495523,0.626439595,0.691961452,0.82396678,0.887667523,1.008914652,1.077695946
heart (210).jpg,Heart,1.231839365,0.796449089,0.28157168,0.65196475,0.583919256,0.48117475,0.389771544,0.304450844,0.193438074,0.144039389,0.036817478,0.278632763,0.424765878,0.496070974,0.632027343,0.785943649,0.872811688,1.036775987,1.10984255
heart (211).jpg,Heart,1.13803461,0.819254592,0.234544496,0.921694676,0.848020148,0.699323351,0.617626283,0.480075581,0.378831227,0.326893566,0.192225768,0.156307246,0.285636832,0.336431934,0.432273414,0.55675339,0.63219227,0.772994101,0.83796551
heart (212).jpg,Heart,1.161658161,0.795581351,0.237416234,0.829864402,0.770894311,0.63819742,0.573405818,0.431556502,0.329568368,0.263945881,0.109381626,0.317829684,0.487662421,0.561970947,0.671012766,0.827422229,0.906548101,1.048501688,1.117554838
heart (213).jpg,Heart,1.097716194,0.804024837,0.243754405,0.854114861,0.787971199,0.660448841,0.579856249,0.453226945,0.34966342,0.294896465,0.150350632,0.279218526,0.440919668,0.499149558,0.597085671,0.730531583,0.807633805,0.947588243,1.013957116
heart (214).jpg,Heart,1.149865287,0.771854353,0.231462017,0.932588755,0.875687732,0.73778445,0.683875307,0.527607661,0.438006011,0.372503843,0.207766103,0.232683912,0.396580665,0.461881001,0.554065125,0.689037164,0.758790704,0.888472938,0.950691771
